Character,TotalPlayers,Celestial
Sol,12515,640
Ky,12456,493
Gio,11106,349
Ram,10813,469
Nago,9228,453
Chip,7621,442
Pot,7535,337
Leo,6876,378
May,6683,429
Milia,6131,349
Ino,5696,248
Anji,5501,265
Faust,4835,154
Zato,4827,203
Axl,4815,289
